id;dfPerfil;knnPerfil;avg_Nota1;avg_Nota2
id0001979;Conservador;Agressivo;39.36;29.72
id0002007;Conservador;Agressivo;21.07;42.09
id0002028;Conservador;Agressivo;41.43;42.31
id0002096;Conservador;Moderado;48.08;60.39
id0002118;Conservador;Agressivo;33.53;61.61
id0002134;Conservador;Conservador;55.4;42.95
id0002136;Conservador;Agressivo;39.87;37.37
id0002169;Conservador;Conservador;74.06;
id0002224;Conservador;Moderado;33.72;30.45
id0002247;Conservador;Conservador;43.15;
id0002268;Conservador;Agressivo;14.32;62.13
id0002288;Conservador;Agressivo;61.37;
id0002293;Conservador;Conservador;29.22;
id0002299;Conservador;Moderado;67.12;38.66
id0002304;Conservador;Agressivo;58.67;46.9
id0002306;Conservador;Moderado;54.6;43.71
id0002326;Conservador;Conservador;44.86;33.68
id0002341;Conservador;Conservador;38.73;66.55
id0002372;Conservador;Agressivo;56.43;56.52
id0002381;Conservador;Moderado;51.0;37.18
id0002434;Conservador;Conservador;76.92;
id0002441;Conservador;Conservador;31.29;63.02
id0002461;Conservador;Conservador;56.98;
id0002462;Conservador;Agressivo;58.89;55.1
id0002466;Conservador;Moderado;39.86;
id0002498;Conservador;Conservador;46.0;36.2
id0002519;Conservador;Conservador;19.94;51.32
id0002533;Conservador;Conservador;50.31;
id0002582;Conservador;Agressivo;44.07;
id0002621;Conservador;Conservador;56.59;
id0002651;Conservador;Conservador;56.07;
id0002656;Conservador;Conservador;46.21;
id0002658;Conservador;Conservador;40.72;62.08
id0002688;Conservador;Conservador;53.24;
id0002717;Conservador;Moderado;42.2;65.49
id0002778;Conservador;Conservador;46.67;49.59
id0002796;Conservador;Moderado;54.3;
id0002815;Conservador;Moderado;27.37;47.17
id0002822;Conservador;Agressivo;52.14;46.64
id0002842;Conservador;Conservador;59.16;
id0002866;Conservador;Conservador;62.14;
id0002881;Conservador;Agressivo;51.89;
id0002900;Conservador;Conservador;48.64;
id0002905;Conservador;Conservador;46.76;64.82
id0002950;Conservador;Conservador;55.37;
id0002954;Conservador;Conservador;26.53;
id0002979;Conservador;Agressivo;61.65;
id0003032;Conservador;Moderado;47.34;37.05
id0003041;Conservador;Conservador;81.91;
id0003153;Conservador;Conservador;55.85;
id0003156;Conservador;Conservador;28.18;71.25
id0003212;Conservador;Agressivo;53.3;70.01
id0003218;Conservador;Agressivo;49.5;69.55
id0003229;Conservador;Conservador;39.95;
id0003289;Conservador;Conservador;53.27;45.68
id0003314;Conservador;Moderado;62.24;26.78
id0003327;Conservador;Moderado;72.51;
id0003337;Conservador;Moderado;36.75;
id0003345;Conservador;Conservador;57.56;37.96
id0003396;Conservador;Agressivo;36.21;43.75
id0003401;Conservador;Agressivo;46.31;
id0003420;Conservador;Moderado;42.19;53.9
id0003432;Conservador;Moderado;35.27;47.23
id0003447;Conservador;Agressivo;66.11;69.5
id0003464;Conservador;Conservador;57.15;
id0003480;Conservador;Conservador;33.69;
id0003481;Conservador;Conservador;33.2;
id0003495;Conservador;Moderado;45.19;42.07
id0003502;Conservador;Moderado;69.42;
id0003503;Conservador;Moderado;36.82;
id0003530;Conservador;Moderado;56.66;67.15
id0003535;Conservador;Agressivo;48.24;51.05
id0003566;Conservador;Moderado;39.47;
id0003570;Conservador;Agressivo;74.86;58.54
id0003576;Conservador;Agressivo;41.51;53.49
id0003586;Conservador;Conservador;52.65;
id0003601;Conservador;Conservador;45.88;
id0003616;Conservador;Moderado;44.48;
id0003640;Conservador;Conservador;72.21;
id0003663;Conservador;Conservador;66.6;
id0003666;Conservador;Moderado;40.84;37.29
id0003714;Conservador;Conservador;41.61;67.95
id0003719;Conservador;Conservador;30.08;
id0003816;Conservador;Conservador;49.77;52.96
id0003833;Conservador;Moderado;60.9;48.03
id0003846;Conservador;Conservador;44.18;
id0003877;Conservador;Moderado;38.84;62.78
id0003888;Conservador;Agressivo;65.1;54.36
id0003909;Conservador;Moderado;79.32;
id0003943;Conservador;Agressivo;42.62;69.5
id0003979;Conservador;Conservador;82.38;51.53
id0003994;Conservador;Conservador;44.2;
id0004058;Conservador;Agressivo;60.81;
id0004075;Conservador;Conservador;43.13;
id0004123;Conservador;Conservador;36.2;
id0004126;Conservador;Conservador;58.15;
id0004189;Conservador;Agressivo;61.79;
id0004209;Conservador;Conservador;44.1;
id0004256;Conservador;Conservador;66.39;
id0004278;Conservador;Agressivo;65.31;61.53
id0004314;Conservador;Agressivo;53.47;46.28
id0004324;Conservador;Moderado;43.22;
id0004336;Conservador;Conservador;64.2;
id0004340;Conservador;Agressivo;34.6;50.0
id0004360;Conservador;Moderado;57.75;61.68
id0004407;Conservador;Conservador;40.3;58.88
id0004438;Conservador;Conservador;58.07;
id0004448;Conservador;Moderado;60.83;45.3
id0004449;Conservador;Conservador;74.95;
id0004519;Conservador;Conservador;62.2;
id0004535;Conservador;Moderado;64.65;
id0004537;Conservador;Moderado;69.01;57.57
id0004540;Conservador;Conservador;43.26;
id0004549;Conservador;Moderado;57.41;63.13
id0004580;Conservador;Conservador;32.11;
id0004608;Conservador;Agressivo;58.01;52.81
id0004645;Conservador;Agressivo;26.69;
id0004646;Conservador;Agressivo;46.77;68.78
id0004659;Conservador;Conservador;48.47;
id0004661;Conservador;Conservador;44.79;
id0004664;Conservador;Conservador;33.77;
id0004688;Conservador;Agressivo;32.04;53.32
id0004694;Conservador;Conservador;38.84;
id0004702;Conservador;Conservador;37.89;68.05
id0004735;Conservador;Agressivo;53.22;
id0004742;Conservador;Moderado;34.83;55.9
id0004758;Conservador;Conservador;43.0;
id0004817;Conservador;Moderado;49.54;33.29
id0004867;Conservador;Conservador;56.57;40.95
id0004869;Conservador;Moderado;47.26;77.9
id0004878;Conservador;Conservador;49.4;
id0004895;Conservador;Agressivo;46.04;58.3
id0004928;Conservador;Moderado;43.1;63.53
id0004929;Conservador;Agressivo;54.92;70.26
id0004963;Conservador;Moderado;40.27;47.95
id0005060;Conservador;Agressivo;53.75;64.66
id0005086;Conservador;Conservador;62.02;37.14
id0005096;Conservador;Agressivo;62.0;41.2
id0005127;Conservador;Moderado;25.73;52.32
id0005156;Conservador;Conservador;31.52;
id0005237;Conservador;Moderado;31.16;62.85
id0005249;Conservador;Agressivo;39.31;67.3
id0005264;Conservador;Conservador;61.08;24.88
id0005275;Conservador;Agressivo;46.4;75.43
id0005301;Conservador;Moderado;60.33;42.89
id0005309;Conservador;Conservador;52.47;
id0005317;Conservador;Agressivo;63.56;69.19
id0005340;Conservador;Agressivo;61.79;
id0005341;Conservador;Conservador;45.08;
id0005390;Conservador;Agressivo;31.12;38.55
id0005420;Conservador;Conservador;57.22;71.53
id0005423;Conservador;Agressivo;55.3;49.91
id0005469;Conservador;Agressivo;52.29;35.29
id0005484;Conservador;Conservador;45.5;
id0005505;Conservador;Moderado;63.24;46.71
id0005519;Conservador;Conservador;46.54;
id0005563;Conservador;Conservador;49.19;45.65
id0005578;Conservador;Conservador;38.29;
id0005582;Conservador;Conservador;61.67;
id0005594;Conservador;Moderado;47.89;53.0
id0005633;Conservador;Conservador;45.09;25.59
id0005637;Conservador;Moderado;67.77;42.64
id0005659;Conservador;Agressivo;33.57;48.59
id0005686;Conservador;Moderado;72.38;51.34
id0005693;Conservador;Moderado;42.25;49.8
id0005715;Conservador;Conservador;85.64;55.27
id0005746;Conservador;Agressivo;50.35;
id0005759;Conservador;Conservador;72.65;
id0005762;Conservador;Agressivo;61.64;49.45
id0005768;Conservador;Moderado;60.66;53.43
id0005818;Conservador;Conservador;21.67;
id0005875;Conservador;Conservador;53.2;
id0005891;Conservador;Conservador;44.54;38.0
id0005949;Conservador;Agressivo;59.61;37.35
id0005959;Conservador;Moderado;39.89;41.96
id0005960;Conservador;Conservador;48.12;
id0005980;Conservador;Moderado;45.95;
id0005997;Conservador;Moderado;51.93;37.89
id0006016;Conservador;Moderado;42.59;46.96
id0006027;Conservador;Conservador;36.44;84.19
id0006079;Conservador;Conservador;36.76;
id0006118;Conservador;Agressivo;54.35;
id0006147;Conservador;Conservador;51.49;
id0006183;Conservador;Conservador;35.11;
id0006186;Conservador;Conservador;53.29;55.66
id0006224;Conservador;Conservador;37.64;
id0006234;Conservador;Agressivo;21.18;43.98
id0006238;Conservador;Agressivo;76.11;71.8
id0006241;Conservador;Moderado;39.93;
id0006244;Conservador;Moderado;61.81;33.07
id0006332;Conservador;Agressivo;52.55;
id0006349;Conservador;Conservador;59.6;59.13
id0006387;Conservador;Conservador;49.28;
id0006415;Conservador;Agressivo;48.68;65.38
id0006416;Conservador;Agressivo;47.2;56.04
id0006459;Conservador;Moderado;44.49;37.94
id0006496;Conservador;Moderado;58.26;48.67
id0006577;Conservador;Agressivo;54.66;44.1
id0006614;Conservador;Agressivo;51.14;79.54
id0006641;Conservador;Conservador;50.56;45.02
id0006655;Conservador;Moderado;68.4;53.42
id0006670;Conservador;Agressivo;40.17;
id0006701;Conservador;Conservador;58.16;
id0006716;Conservador;Moderado;41.18;43.01
id0006723;Conservador;Moderado;37.18;
id0006786;Conservador;Conservador;25.54;37.25
id0006804;Conservador;Moderado;45.44;
id0006810;Conservador;Agressivo;51.2;
id0006848;Conservador;Moderado;58.24;44.98
id0006875;Conservador;Conservador;43.87;51.9
id0006881;Conservador;Agressivo;54.82;26.38
id0006893;Conservador;Agressivo;45.06;
id0006895;Conservador;Conservador;36.91;21.45
id0006896;Conservador;Conservador;34.73;41.28
id0006925;Conservador;Conservador;41.58;
id0006933;Conservador;Moderado;56.85;37.8
id0006939;Conservador;Moderado;62.21;
id0006944;Conservador;Conservador;69.43;
id0006986;Conservador;Conservador;57.44;58.88
id0007017;Conservador;Conservador;61.65;
id0007030;Conservador;Conservador;37.98;
id0007043;Conservador;Agressivo;63.63;42.78
id0007045;Conservador;Conservador;46.5;
id0007051;Conservador;Moderado;44.96;
id0007056;Conservador;Moderado;42.79;
id0007057;Conservador;Agressivo;72.37;54.2
id0007080;Conservador;Moderado;41.18;36.73
id0007092;Conservador;Conservador;58.2;50.86
id0007113;Conservador;Moderado;42.26;59.87
id0007169;Conservador;Moderado;30.91;41.82
id0007192;Conservador;Conservador;47.61;52.66
id0007194;Conservador;Agressivo;58.95;
id0007225;Conservador;Agressivo;29.99;
id0007230;Conservador;Conservador;55.1;
id0007314;Conservador;Moderado;46.99;54.19
id0007332;Conservador;Conservador;70.69;
id0007333;Conservador;Moderado;61.72;
id0007347;Conservador;Agressivo;51.35;48.21
id0007415;Conservador;Conservador;46.49;55.45
id0007424;Conservador;Moderado;62.75;57.84
id0007443;Conservador;Moderado;29.88;
id0007448;Conservador;Conservador;33.98;
id0007465;Conservador;Conservador;55.13;
id0007474;Conservador;Conservador;33.71;33.67
id0007500;Conservador;Moderado;60.93;
id0007502;Conservador;Moderado;69.12;49.72
id0007503;Conservador;Moderado;51.61;
id0007509;Conservador;Conservador;50.16;
id0007591;Conservador;Conservador;52.95;
id0007657;Conservador;Conservador;43.33;60.78
id0007660;Conservador;Agressivo;49.76;43.59
id0007668;Conservador;Moderado;31.41;67.42
id0007696;Conservador;Agressivo;39.48;
id0007704;Conservador;Agressivo;69.6;
id0007706;Conservador;Conservador;60.11;69.65
id0007726;Conservador;Conservador;64.46;76.01
id0007765;Conservador;Agressivo;38.86;23.33
id0007770;Conservador;Agressivo;74.05;
id0007775;Conservador;Conservador;56.69;23.01
id0007785;Conservador;Agressivo;62.36;
id0007793;Conservador;Agressivo;45.73;46.96
id0007830;Conservador;Conservador;42.3;
id0007859;Conservador;Conservador;74.27;36.07
id0007872;Conservador;Agressivo;51.77;
id0007902;Conservador;Conservador;30.9;
id0007920;Conservador;Conservador;63.34;
id0007932;Conservador;Conservador;57.0;61.46
id0007955;Conservador;Agressivo;62.21;
id0008055;Conservador;Moderado;61.75;
id0008164;Conservador;Agressivo;45.87;54.6
id0008216;Conservador;Agressivo;39.76;
id0008231;Conservador;Moderado;60.12;28.72
id0008233;Conservador;Agressivo;65.21;
id0008241;Conservador;Agressivo;36.02;
id0008345;Conservador;Agressivo;68.84;
id0008347;Conservador;Agressivo;69.86;58.92
id0008386;Conservador;Conservador;71.34;
id0008389;Conservador;Agressivo;54.64;56.55
id0008394;Conservador;Conservador;30.46;
id0008404;Conservador;Agressivo;37.21;59.6
id0008436;Conservador;Conservador;52.02;
id0008446;Conservador;Moderado;32.64;
id0008476;Conservador;Conservador;42.84;
id0008489;Conservador;Moderado;45.08;
id0008542;Conservador;Agressivo;55.81;54.0
id0008576;Conservador;Conservador;63.63;
id0008591;Conservador;Moderado;42.27;57.91
id0008636;Conservador;Moderado;70.56;48.53
id0008695;Conservador;Conservador;67.06;
id0008716;Conservador;Conservador;50.65;
id0008726;Conservador;Agressivo;39.76;59.11
id0008751;Conservador;Conservador;46.09;37.99
id0008767;Conservador;Conservador;50.43;
id0008825;Conservador;Conservador;46.83;
id0008846;Conservador;Conservador;84.86;52.04
id0008872;Conservador;Moderado;42.72;45.76
id0008941;Conservador;Agressivo;38.06;66.5
id0008957;Conservador;Agressivo;47.02;60.6
id0008977;Conservador;Agressivo;56.02;69.38
id0009005;Conservador;Moderado;39.62;
id0009010;Conservador;Conservador;52.04;
id0009083;Conservador;Agressivo;41.66;
id0009084;Conservador;Conservador;47.42;
id0009093;Conservador;Moderado;67.89;51.57
id0009123;Conservador;Conservador;64.8;
id0009124;Conservador;Agressivo;21.44;64.49
id0009207;Conservador;Conservador;63.11;41.8
id0009249;Conservador;Conservador;20.52;18.7
id0009255;Conservador;Moderado;15.37;62.03
id0009282;Conservador;Conservador;61.86;68.54
id0009323;Conservador;Moderado;37.29;
id0009372;Conservador;Conservador;66.03;34.86
id0009459;Conservador;Agressivo;50.41;47.9
id0009553;Conservador;Agressivo;53.41;33.48
id0009581;Conservador;Conservador;57.7;
id0009626;Conservador;Conservador;71.92;42.48
id0009676;Conservador;Moderado;55.62;57.57
id0009684;Conservador;Conservador;27.22;
id0009724;Conservador;Conservador;48.8;
id0009732;Conservador;Moderado;48.69;55.39
id0009740;Conservador;Moderado;37.84;
id0009767;Conservador;Moderado;52.66;54.17
id0009829;Conservador;Conservador;43.92;38.65
id0009831;Conservador;Conservador;35.62;28.43
id0009900;Conservador;Conservador;25.77;
id0009905;Conservador;Moderado;35.76;
id0009927;Conservador;Conservador;48.78;
id0009930;Conservador;Agressivo;31.8;
id0009955;Conservador;Moderado;59.68;44.82
id0009989;Conservador;Agressivo;45.34;
id0009998;Conservador;Moderado;33.9;40.79
id0010009;Conservador;Agressivo;78.29;
id0010034;Conservador;Conservador;32.51;
id0010049;Conservador;Conservador;53.18;
id0010062;Conservador;Agressivo;65.51;36.83
id0010069;Conservador;Agressivo;47.94;
id0010071;Conservador;Moderado;66.79;
id0010079;Conservador;Moderado;54.7;71.96
id0010134;Conservador;Agressivo;45.31;18.11
id0010152;Conservador;Conservador;56.48;40.22
id0010175;Conservador;Moderado;51.42;
id0010233;Conservador;Conservador;44.25;
id0010258;Conservador;Agressivo;61.83;
id0010272;Conservador;Conservador;61.63;
id0010273;Conservador;Moderado;50.25;52.1
id0010311;Conservador;Moderado;58.2;47.71
id0010352;Conservador;Agressivo;56.8;
id0010353;Conservador;Conservador;60.59;
id0010357;Conservador;Agressivo;54.45;
id0010382;Conservador;Conservador;68.77;
id0010414;Conservador;Moderado;44.37;57.62
id0010416;Conservador;Conservador;30.98;
id0010424;Conservador;Conservador;44.81;
id0010450;Conservador;Agressivo;44.39;50.85
id0010451;Conservador;Conservador;42.45;
id0010484;Conservador;Agressivo;59.17;
id0010528;Conservador;Moderado;83.72;58.18
id0010531;Conservador;Moderado;24.76;
id0010559;Conservador;Agressivo;52.33;
id0010567;Conservador;Conservador;74.96;
id0010635;Conservador;Conservador;49.06;54.62
id0010648;Conservador;Conservador;44.87;
id0010670;Conservador;Conservador;21.82;
id0010678;Conservador;Conservador;63.36;
id0010682;Conservador;Agressivo;32.36;70.07
id0010718;Conservador;Conservador;47.75;
id0010726;Conservador;Conservador;42.76;74.88
id0010760;Conservador;Agressivo;37.06;
id0010786;Conservador;Agressivo;68.33;
id0010873;Conservador;Agressivo;37.55;79.21
id0010875;Conservador;Conservador;45.34;
id0010933;Conservador;Moderado;30.78;
id0010957;Conservador;Conservador;26.39;
id0010958;Conservador;Conservador;48.78;
id0010972;Conservador;Conservador;57.99;45.12
id0010976;Conservador;Conservador;38.15;
id0010977;Conservador;Agressivo;39.2;
id0011004;Conservador;Conservador;34.1;
id0011042;Conservador;Conservador;40.71;
id0011059;Conservador;Agressivo;22.75;52.74
id0011084;Conservador;Conservador;37.23;57.05
id0011110;Conservador;Conservador;56.99;
id0011114;Conservador;Conservador;60.99;30.27
id0011116;Conservador;Moderado;34.34;47.92
id0011158;Conservador;Conservador;35.86;
id0011169;Conservador;Conservador;78.01;
id0011194;Conservador;Conservador;58.08;
id0011232;Conservador;Moderado;62.73;59.88
id0011266;Conservador;Agressivo;78.05;63.45
id0011268;Conservador;Moderado;32.9;
id0011308;Conservador;Conservador;59.99;
id0011309;Conservador;Moderado;60.97;62.08
id0011358;Conservador;Conservador;29.73;
id0011366;Conservador;Conservador;47.27;
id0011372;Conservador;Conservador;55.58;
id0011391;Conservador;Conservador;65.73;
id0011402;Conservador;Conservador;46.27;
id0011443;Conservador;Conservador;65.97;
id0011453;Conservador;Conservador;62.88;47.83
id0011483;Conservador;Agressivo;31.45;
id0011484;Conservador;Moderado;53.09;
id0011544;Conservador;Moderado;51.32;
id0011581;Conservador;Conservador;63.2;
id0011609;Conservador;Moderado;51.23;
id0011639;Conservador;Agressivo;39.53;
id0011643;Conservador;Conservador;47.86;
id0011648;Conservador;Agressivo;75.16;
id0011664;Conservador;Conservador;56.8;
id0011742;Conservador;Conservador;82.57;
id0011775;Conservador;Conservador;67.4;
id0011776;Conservador;Conservador;53.8;
id0011805;Conservador;Agressivo;52.82;47.06
id0011825;Conservador;Moderado;62.73;59.88
id0011826;Conservador;Moderado;46.48;67.66
id0011827;Conservador;Conservador;39.83;
id0011850;Conservador;Moderado;41.97;52.42
id0011852;Conservador;Moderado;61.56;55.35
id0011869;Conservador;Agressivo;38.37;43.43
id0011908;Conservador;Conservador;48.64;
id0011910;Conservador;Conservador;33.21;46.89
id0011914;Conservador;Moderado;60.24;21.33
id0011983;Conservador;Agressivo;39.8;
id0012016;Conservador;Conservador;38.75;71.81
id0012032;Conservador;Conservador;70.11;
id0012038;Conservador;Moderado;54.49;
id0012045;Conservador;Moderado;42.7;45.79
id0012047;Conservador;Moderado;64.49;
id0012052;Conservador;Agressivo;58.14;
id0012103;Conservador;Conservador;42.14;38.72
id0012119;Conservador;Moderado;59.3;
id0012158;Conservador;Moderado;46.27;53.37
id0012166;Conservador;Conservador;42.76;
id0012172;Conservador;Conservador;56.09;
id0012193;Conservador;Moderado;60.41;15.27
id0012312;Conservador;Conservador;56.36;
id0012318;Conservador;Agressivo;64.63;
id0012319;Conservador;Moderado;52.86;41.47
id0012337;Conservador;Moderado;44.91;71.64
id0012350;Conservador;Conservador;45.65;53.81
id0012351;Conservador;Conservador;47.46;
id0012376;Conservador;Moderado;15.35;
id0012429;Conservador;Conservador;49.79;
id0012448;Conservador;Moderado;44.14;55.51
id0012465;Conservador;Conservador;45.79;
id0012468;Conservador;Agressivo;45.6;58.51
id0012483;Conservador;Moderado;55.32;45.89
id0012488;Conservador;Agressivo;58.42;54.95
id0012502;Conservador;Conservador;65.58;
id0012527;Conservador;Conservador;55.5;34.21
id0012566;Conservador;Conservador;43.95;
id0012581;Conservador;Conservador;43.36;37.57
id0012583;Conservador;Agressivo;53.09;
id0012594;Conservador;Conservador;38.9;
id0012672;Conservador;Moderado;47.38;
id0012678;Conservador;Moderado;70.6;64.42
id0012720;Conservador;Agressivo;47.63;
id0012727;Conservador;Conservador;39.18;32.47
id0012732;Conservador;Moderado;44.88;19.2
id0012745;Conservador;Moderado;44.12;49.76
id0012798;Conservador;Moderado;62.79;
id0012808;Conservador;Conservador;60.94;
id0012816;Conservador;Agressivo;44.99;14.66
id0012825;Conservador;Conservador;46.54;
id0012843;Conservador;Conservador;32.4;56.8
id0012870;Conservador;Conservador;62.25;
id0012900;Conservador;Moderado;38.28;
id0012930;Conservador;Agressivo;64.71;
id0012970;Conservador;Agressivo;45.86;50.0
id0012981;Conservador;Conservador;28.81;
id0012994;Conservador;Agressivo;57.59;68.54
id0013009;Conservador;Conservador;56.44;
id0013015;Conservador;Agressivo;51.75;
id0013025;Conservador;Moderado;44.88;46.35
id0013039;Conservador;Conservador;72.04;55.54
id0013048;Conservador;Conservador;27.08;56.4
id0013050;Conservador;Conservador;49.93;
id0013051;Conservador;Agressivo;40.13;50.49
id0013058;Conservador;Conservador;44.07;
id0013066;Conservador;Agressivo;54.03;
id0013091;Conservador;Conservador;43.52;55.57
id0013131;Conservador;Conservador;46.23;
id0013231;Conservador;Moderado;42.87;40.53
id0013251;Conservador;Conservador;72.66;
id0013252;Conservador;Conservador;79.65;
id0013282;Conservador;Agressivo;67.08;
id0013314;Conservador;Agressivo;45.59;
id0013436;Conservador;Conservador;52.66;55.38
id0013480;Conservador;Conservador;43.7;
id0013518;Conservador;Agressivo;66.71;27.54
id0013539;Conservador;Conservador;50.43;
id0013576;Conservador;Agressivo;43.24;32.81
id0013581;Conservador;Conservador;22.51;46.14
id0013603;Conservador;Moderado;29.36;
id0013610;Conservador;Agressivo;25.95;35.78
id0013621;Conservador;Moderado;62.03;
id0013630;Conservador;Conservador;49.22;
id0013638;Conservador;Conservador;38.62;
id0013716;Conservador;Moderado;76.93;
id0013726;Conservador;Agressivo;32.37;
id0013770;Conservador;Moderado;42.54;52.97
id0013771;Conservador;Conservador;39.34;49.07
id0013784;Conservador;Agressivo;47.59;41.16
id0013799;Conservador;Moderado;47.0;39.09
id0013852;Conservador;Moderado;58.0;41.77
id0013862;Conservador;Conservador;41.68;
id0013879;Conservador;Moderado;48.38;
id0013905;Conservador;Agressivo;33.28;52.82
id0013970;Conservador;Agressivo;50.83;45.93
id0013998;Conservador;Agressivo;53.81;42.66
id0014044;Conservador;Agressivo;38.19;
id0014069;Conservador;Conservador;57.14;
id0014074;Conservador;Agressivo;71.65;
id0014106;Conservador;Moderado;40.49;65.51
id0014133;Conservador;Moderado;36.09;
id0014145;Conservador;Conservador;69.72;39.11
id0014166;Conservador;Conservador;71.9;
id0014200;Conservador;Conservador;46.93;
id0014291;Conservador;Moderado;32.47;46.28
id0014292;Conservador;Conservador;56.01;
id0014323;Conservador;Conservador;42.74;68.47
id0014326;Conservador;Conservador;35.49;
id0014382;Conservador;Agressivo;37.12;50.9
id0014384;Conservador;Conservador;39.69;
id0014405;Conservador;Moderado;75.57;59.37
id0014437;Conservador;Moderado;33.52;
id0014471;Conservador;Agressivo;33.67;53.05
id0014497;Conservador;Moderado;37.35;47.03
id0014514;Conservador;Conservador;77.57;
id0014527;Conservador;Conservador;51.07;41.65
id0014538;Conservador;Conservador;53.59;
id0014547;Conservador;Conservador;52.62;
id0014554;Conservador;Agressivo;42.88;
id0014558;Conservador;Moderado;58.28;66.7
id0014582;Conservador;Conservador;56.77;
id0014602;Conservador;Moderado;34.32;36.11
id0014621;Conservador;Conservador;61.09;32.76
id0014625;Conservador;Conservador;69.25;
id0014631;Conservador;Conservador;60.23;52.67
id0014640;Conservador;Moderado;38.72;64.23
id0014651;Conservador;Agressivo;35.11;
id0014680;Conservador;Agressivo;70.33;44.43
id0014741;Conservador;Moderado;46.18;57.39
id0014750;Conservador;Moderado;50.99;
id0014787;Conservador;Conservador;49.68;
id0014795;Conservador;Conservador;45.98;37.83
id0014802;Conservador;Conservador;67.36;72.9
