id;dfPerfil;knnPerfil;avg_Nota1;avg_Nota2
id0007790;Moderado;Moderado;54.77;
id0007794;Moderado;Conservador;39.19;34.81
id0007804;Moderado;Agressivo;59.12;
id0007808;Moderado;Moderado;60.07;52.49
id0007845;Moderado;Conservador;51.7;50.55
id0007861;Moderado;Moderado;40.13;49.49
id0007877;Moderado;Conservador;58.43;
id0007919;Moderado;Agressivo;42.92;
id0007947;Moderado;Moderado;63.51;47.03
id0007965;Moderado;Moderado;55.77;25.83
id0007969;Moderado;Conservador;38.98;46.33
id0007979;Moderado;Conservador;48.98;36.17
id0007984;Moderado;Moderado;38.32;
id0007991;Moderado;Agressivo;53.81;55.93
id0008017;Moderado;Moderado;40.98;
id0008059;Moderado;Conservador;49.8;52.03
id0008073;Moderado;Agressivo;79.12;58.22
id0008079;Moderado;Moderado;42.6;
id0008107;Moderado;Agressivo;42.66;59.93
id0008116;Moderado;Agressivo;45.46;66.97
id0008120;Moderado;Moderado;55.65;
id0008128;Moderado;Moderado;59.2;35.23
id0008165;Moderado;Conservador;39.8;80.87
id0008237;Moderado;Moderado;31.86;
id0008280;Moderado;Conservador;44.59;45.62
id0008281;Moderado;Moderado;65.37;63.34
id0008299;Moderado;Moderado;40.78;
id0008330;Moderado;Conservador;43.57;49.44
id0008346;Moderado;Agressivo;30.28;33.17
id0008380;Moderado;Agressivo;67.94;
id0008414;Moderado;Moderado;58.73;53.96
id0008455;Moderado;Agressivo;66.2;67.83
id0008472;Moderado;Moderado;61.66;
id0008506;Moderado;Moderado;47.85;54.77
id0008521;Moderado;Moderado;62.85;
id0008548;Moderado;Moderado;34.76;
id0008563;Moderado;Agressivo;66.12;40.05
id0008569;Moderado;Conservador;55.97;45.97
id0008581;Moderado;Moderado;59.52;42.16
id0008674;Moderado;Moderado;45.72;
id0008687;Moderado;Agressivo;19.87;47.8
id0008724;Moderado;Moderado;63.61;
id0008731;Moderado;Moderado;43.97;
id0008752;Moderado;Agressivo;44.35;
id0008759;Moderado;Moderado;41.38;59.71
id0008765;Moderado;Conservador;36.55;52.52
id0008770;Moderado;Moderado;62.94;
id0008797;Moderado;Moderado;59.71;59.13
id0008798;Moderado;Conservador;74.1;37.91
id0008812;Moderado;Conservador;42.5;46.69
id0008821;Moderado;Moderado;62.4;56.27
id0008824;Moderado;Conservador;48.81;
id0008843;Moderado;Conservador;35.7;
id0008878;Moderado;Moderado;35.91;36.22
id0008888;Moderado;Moderado;75.35;62.44
id0008922;Moderado;Moderado;57.61;
id0009030;Moderado;Conservador;52.91;52.1
id0009041;Moderado;Conservador;31.32;45.92
id0009055;Moderado;Agressivo;50.29;
id0009056;Moderado;Conservador;68.78;45.37
id0009110;Moderado;Moderado;52.4;
id0009118;Moderado;Conservador;55.94;
id0009189;Moderado;Moderado;50.02;
id0009192;Moderado;Agressivo;61.88;62.9
id0009199;Moderado;Conservador;40.86;59.02
id0009256;Moderado;Conservador;51.45;
id0009276;Moderado;Conservador;65.39;61.58
id0009303;Moderado;Conservador;54.92;
id0009312;Moderado;Moderado;63.07;
id0009318;Moderado;Moderado;59.52;
id0009320;Moderado;Moderado;46.15;60.93
id0009350;Moderado;Agressivo;49.11;66.56
id0009370;Moderado;Moderado;69.69;62.92
id0009378;Moderado;Conservador;47.24;
id0009388;Moderado;Agressivo;35.31;
id0009411;Moderado;Conservador;38.54;71.56
id0009451;Moderado;Conservador;45.81;
id0009452;Moderado;Moderado;41.52;
id0009464;Moderado;Agressivo;44.29;
id0009504;Moderado;Moderado;55.76;47.92
id0009509;Moderado;Conservador;46.7;
id0009511;Moderado;Moderado;50.77;39.19
id0009533;Moderado;Conservador;44.94;
id0009562;Moderado;Agressivo;25.9;
id0009574;Moderado;Agressivo;47.04;62.68
id0009670;Moderado;Moderado;33.11;
id0009678;Moderado;Moderado;47.47;
id0009690;Moderado;Moderado;65.26;
id0009730;Moderado;Moderado;43.81;56.98
id0009737;Moderado;Agressivo;36.4;
id0009793;Moderado;Moderado;40.1;
id0009803;Moderado;Agressivo;49.99;50.91
id0009805;Moderado;Moderado;52.73;57.79
id0009838;Moderado;Moderado;37.26;32.01
id0009897;Moderado;Agressivo;26.32;51.0
id0009901;Moderado;Moderado;65.63;73.18
id0009907;Moderado;Moderado;40.84;
id0009915;Moderado;Conservador;53.1;48.19
id0009991;Moderado;Moderado;63.26;31.39
id0010038;Moderado;Moderado;54.73;59.0
id0010086;Moderado;Agressivo;31.99;
id0010118;Moderado;Moderado;66.1;32.45
id0010137;Moderado;Agressivo;45.54;58.45
id0010148;Moderado;Agressivo;52.41;30.25
id0010153;Moderado;Conservador;47.7;
id0010168;Moderado;Moderado;68.2;60.53
id0010220;Moderado;Moderado;57.84;
id0010227;Moderado;Moderado;39.4;
id0010245;Moderado;Conservador;31.93;44.81
id0010279;Moderado;Moderado;28.0;43.26
id0010287;Moderado;Moderado;57.43;
id0010288;Moderado;Moderado;56.88;70.92
id0010372;Moderado;Agressivo;30.67;67.41
id0010380;Moderado;Conservador;47.81;27.23
id0010388;Moderado;Conservador;59.77;
id0010418;Moderado;Moderado;47.09;
id0010432;Moderado;Moderado;47.37;
id0010441;Moderado;Moderado;44.96;
id0010459;Moderado;Agressivo;34.02;66.57
id0010462;Moderado;Moderado;56.81;
id0010482;Moderado;Agressivo;53.8;59.56
id0010495;Moderado;Moderado;62.82;50.88
id0010516;Moderado;Conservador;47.23;66.04
id0010538;Moderado;Agressivo;53.88;57.36
id0010554;Moderado;Moderado;39.68;
id0010558;Moderado;Conservador;58.41;
id0010560;Moderado;Agressivo;65.36;
id0010584;Moderado;Agressivo;64.55;62.77
id0010598;Moderado;Agressivo;32.97;30.58
id0010602;Moderado;Conservador;50.59;
id0010608;Moderado;Moderado;32.12;71.42
id0010627;Moderado;Conservador;54.07;62.33
id0010629;Moderado;Moderado;43.52;59.78
id0010656;Moderado;Moderado;33.48;
id0010669;Moderado;Agressivo;46.38;60.61
id0010698;Moderado;Moderado;73.91;
id0010721;Moderado;Moderado;66.31;
id0010734;Moderado;Conservador;83.7;66.38
id0010761;Moderado;Conservador;55.7;40.88
id0010774;Moderado;Moderado;54.95;
id0010779;Moderado;Moderado;49.94;
id0010780;Moderado;Moderado;51.99;65.23
id0010820;Moderado;Moderado;36.68;
id0010850;Moderado;Agressivo;60.52;35.8
id0010866;Moderado;Moderado;75.88;
id0010890;Moderado;Conservador;61.45;
id0010899;Moderado;Conservador;17.48;66.06
id0010901;Moderado;Conservador;67.33;65.09
id0010920;Moderado;Agressivo;36.95;
id0010930;Moderado;Conservador;37.94;62.39
id0010952;Moderado;Agressivo;51.94;
id0010955;Moderado;Moderado;56.33;52.42
id0011018;Moderado;Moderado;37.33;
id0011062;Moderado;Agressivo;37.89;51.65
id0011080;Moderado;Conservador;62.29;59.65
id0011090;Moderado;Agressivo;49.57;
id0011113;Moderado;Moderado;69.24;
id0011119;Moderado;Moderado;44.91;
id0011198;Moderado;Agressivo;48.45;
id0011228;Moderado;Agressivo;49.64;54.28
id0011271;Moderado;Agressivo;45.19;
id0011279;Moderado;Agressivo;53.76;
id0011296;Moderado;Agressivo;35.94;
id0011342;Moderado;Agressivo;72.28;
id0011377;Moderado;Agressivo;58.91;
id0011415;Moderado;Agressivo;61.9;
id0011439;Moderado;Agressivo;26.84;63.65
id0011441;Moderado;Agressivo;42.06;
id0011446;Moderado;Agressivo;55.51;47.59
id0011472;Moderado;Moderado;37.24;
id0011476;Moderado;Conservador;35.82;
id0011553;Moderado;Conservador;46.83;
id0011562;Moderado;Conservador;55.21;57.82
id0011575;Moderado;Moderado;35.49;
id0011592;Moderado;Conservador;53.66;47.22
id0011631;Moderado;Moderado;57.23;
id0011671;Moderado;Moderado;47.13;
id0011718;Moderado;Moderado;44.68;
id0011732;Moderado;Agressivo;57.1;
id0011736;Moderado;Conservador;39.2;51.32
id0011747;Moderado;Agressivo;52.47;73.89
id0011749;Moderado;Conservador;70.82;55.84
id0011801;Moderado;Conservador;50.99;55.21
id0011875;Moderado;Agressivo;50.74;25.78
id0011959;Moderado;Conservador;49.52;40.75
id0011962;Moderado;Moderado;65.95;
id0011967;Moderado;Moderado;56.68;24.0
id0011980;Moderado;Moderado;65.94;
id0012000;Moderado;Moderado;49.1;
id0012021;Moderado;Moderado;56.72;
id0012155;Moderado;Agressivo;61.23;
id0012180;Moderado;Conservador;57.24;56.5
id0012196;Moderado;Moderado;53.85;47.04
id0012205;Moderado;Conservador;55.54;50.32
id0012209;Moderado;Agressivo;68.0;47.75
id0012250;Moderado;Conservador;53.28;
id0012282;Moderado;Moderado;68.82;46.35
id0012306;Moderado;Moderado;80.68;
id0012324;Moderado;Agressivo;49.36;
id0012327;Moderado;Agressivo;55.01;58.89
id0012361;Moderado;Agressivo;33.02;33.03
id0012366;Moderado;Moderado;47.82;
id0012372;Moderado;Moderado;54.06;50.49
id0012408;Moderado;Agressivo;31.1;
id0012416;Moderado;Moderado;41.85;
id0012432;Moderado;Agressivo;34.01;59.08
id0012434;Moderado;Agressivo;26.93;36.17
id0012472;Moderado;Agressivo;54.33;65.47
id0012474;Moderado;Moderado;40.6;
id0012493;Moderado;Agressivo;41.68;
id0012509;Moderado;Conservador;66.25;53.93
id0012526;Moderado;Conservador;41.59;
id0012532;Moderado;Agressivo;49.04;63.08
id0012535;Moderado;Agressivo;59.53;28.04
id0012565;Moderado;Conservador;44.33;
id0012602;Moderado;Agressivo;46.77;59.23
id0012625;Moderado;Moderado;35.07;72.06
id0012636;Moderado;Conservador;40.64;
id0012677;Moderado;Conservador;54.32;
id0012698;Moderado;Moderado;36.32;
id0012739;Moderado;Conservador;55.54;31.52
id0012755;Moderado;Moderado;64.48;
id0012809;Moderado;Moderado;41.06;
id0012872;Moderado;Conservador;63.58;
id0012978;Moderado;Moderado;46.31;
id0012980;Moderado;Agressivo;52.79;
id0012991;Moderado;Moderado;46.4;
id0013001;Moderado;Moderado;49.97;48.79
id0013011;Moderado;Moderado;64.24;33.56
id0013069;Moderado;Agressivo;49.65;53.62
id0013147;Moderado;Conservador;32.51;
id0013175;Moderado;Conservador;40.04;
id0013185;Moderado;Moderado;62.39;
id0013207;Moderado;Moderado;48.14;
id0013238;Moderado;Moderado;36.65;
id0013240;Moderado;Moderado;59.71;
id0013312;Moderado;Moderado;41.33;
id0013317;Moderado;Conservador;45.62;
id0013319;Moderado;Conservador;38.86;52.71
id0013322;Moderado;Moderado;42.84;65.22
id0013356;Moderado;Conservador;27.48;39.94
id0013371;Moderado;Agressivo;38.53;41.34
id0013408;Moderado;Moderado;38.81;
id0013438;Moderado;Agressivo;49.43;64.58
id0013488;Moderado;Agressivo;52.29;41.73
id0013489;Moderado;Moderado;34.28;
id0013643;Moderado;Moderado;48.61;
id0013654;Moderado;Moderado;58.68;55.77
id0013690;Moderado;Conservador;64.38;29.84
id0013691;Moderado;Agressivo;58.56;60.59
id0013711;Moderado;Moderado;75.07;47.98
id0013759;Moderado;Agressivo;62.39;28.25
id0013761;Moderado;Conservador;63.45;
id0013805;Moderado;Agressivo;37.22;54.83
id0013814;Moderado;Moderado;38.2;37.33
id0013859;Moderado;Moderado;29.39;63.65
id0013892;Moderado;Conservador;28.72;58.7
id0013964;Moderado;Conservador;37.46;48.19
id0013971;Moderado;Agressivo;62.14;
id0014040;Moderado;Agressivo;54.49;
id0014070;Moderado;Moderado;64.55;36.11
id0014091;Moderado;Conservador;40.39;21.92
id0014127;Moderado;Conservador;72.51;
id0014151;Moderado;Agressivo;67.69;
id0014181;Moderado;Moderado;50.91;
id0014226;Moderado;Conservador;62.25;
id0014242;Moderado;Conservador;36.25;41.44
id0014268;Moderado;Agressivo;53.18;
id0014270;Moderado;Moderado;66.39;
id0014284;Moderado;Agressivo;60.12;
id0014297;Moderado;Moderado;44.44;
id0014314;Moderado;Moderado;41.61;56.22
id0014332;Moderado;Moderado;60.69;
id0014337;Moderado;Agressivo;41.12;
id0014354;Moderado;Conservador;41.4;62.77
id0014362;Moderado;Moderado;47.18;
id0014371;Moderado;Agressivo;47.48;56.98
id0014423;Moderado;Conservador;66.84;20.43
id0014441;Moderado;Agressivo;42.83;55.5
id0014456;Moderado;Moderado;70.75;49.58
id0014467;Moderado;Agressivo;50.77;56.36
id0014488;Moderado;Agressivo;76.58;39.0
id0014605;Moderado;Conservador;55.95;
id0014609;Moderado;Moderado;56.57;
id0014617;Moderado;Moderado;31.22;61.93
id0014623;Moderado;Moderado;49.58;38.87
id0014628;Moderado;Conservador;65.05;
id0014644;Moderado;Moderado;55.92;
id0014676;Moderado;Moderado;34.88;66.57
id0014695;Moderado;Conservador;21.82;
id0014708;Moderado;Moderado;62.79;
id0014723;Moderado;Conservador;76.74;66.1
id0014769;Moderado;Conservador;51.08;
id0014772;Moderado;Agressivo;60.2;48.63
id0014824;Moderado;Moderado;40.73;
id0014849;Moderado;Agressivo;43.98;
id0014886;Moderado;Agressivo;68.81;41.08
id0014890;Moderado;Conservador;42.46;47.1
id0014900;Moderado;Conservador;45.08;
id0014935;Moderado;Agressivo;53.71;
id0014968;Moderado;Conservador;46.74;
id0014974;Moderado;Conservador;53.87;38.79
id0015001;Moderado;Moderado;67.63;
id0015040;Moderado;Moderado;40.73;65.81
id0015054;Moderado;Conservador;49.67;44.29
id0015079;Moderado;Moderado;68.04;
id0015097;Moderado;Moderado;39.71;44.3
id0015098;Moderado;Agressivo;49.61;59.2
id0015103;Moderado;Agressivo;42.43;
